osm_id,osm_name,normalized_name,reason,candidate_ksh_code,candidate_line_code
n3827508210,Hármashegyi-tó,Hármashegyi-tó,NO_UNIQUE_KSH_NAME,,
n6486121484,Háros,Háros,NO_UNIQUE_KSH_NAME,,
n6354683659,Hárshegy,Hárshegy,NO_UNIQUE_KSH_NAME,,
n1435581047,Hártókút,Hártókút,NO_UNIQUE_KSH_NAME,,
n1065129964,Hékéd,Hékéd,NO_UNIQUE_KSH_NAME,,
n2153434323,Hétvezér utca,Hétvezér utca,NO_UNIQUE_KSH_NAME,,
n7054973732,Hódmezővásárhelyi Népkert,Hódmezővásárhelyi Népkert,NO_UNIQUE_KSH_NAME,,
n5217774761,Hősök tere,Hősök tere,NO_UNIQUE_KSH_NAME,,
n6354674087,Hűvösvölgy,Hűvösvölgy,NO_UNIQUE_KSH_NAME,,
n5217774789,II. János Pál pápa tér,II. János Pál pápa tér,NO_UNIQUE_KSH_NAME,,
n1328628235,Ifjúsági tábor,Ifjúsági tábor,NO_UNIQUE_KSH_NAME,,
n7278436825,Iklad-Domony,Iklad-Domony,NO_UNIQUE_KSH_NAME,,
n7278436824,Iklad-Domony felső,Iklad-Domony felső,NO_UNIQUE_KSH_NAME,,
n2508607845,Iklódbördőcei temető,Iklódbördőcei temető,NO_UNIQUE_KSH_NAME,,
n6607085792,Ilonatelep,Ilonatelep,NO_UNIQUE_KSH_NAME,,
n1065130768,Imremajor,Imremajor,NO_UNIQUE_KSH_NAME,,
n619723829,Inárcs-Kakucs,Inárcs-Kakucs,NO_UNIQUE_KSH_NAME,,
n10010044998,Istvántelek,Istvántelek,NO_UNIQUE_KSH_NAME,,
n10160028434,Ivacs,Ivacs,NO_UNIQUE_KSH_NAME,,
n342860752,Justhmajor,Justhmajor,NO_UNIQUE_KSH_NAME,,
n1065129602,Ják-Balogunyom,Ják-Balogunyom,NO_UNIQUE_KSH_NAME,,
n94743562,Jákó-Nagybajom,Jákó-Nagybajom,NO_UNIQUE_KSH_NAME,,
n6053211920,Jámborka,Jámborka,NO_UNIQUE_KSH_NAME,,
n1262974393,Jánkmajtis,Jánkmajtis,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n6354693345,Jánoshegy,Jánoshegy,NO_UNIQUE_KSH_NAME,,
n1796135496,Jánoska,Jánoska,NO_UNIQUE_KSH_NAME,,
n4371462428,Jánosszállás,Jánosszállás,NO_UNIQUE_KSH_NAME,,
n1829167896,Jászboldogháza-Jánoshida,Jászboldogháza-Jánoshida,NO_UNIQUE_KSH_NAME,,
