ksh_code,settlement_name,county_name,line_code,line_name,service_area,service_area_id,status,reason
31158,Nyírbogát,Szabolcs-Szatmár-Bereg,110,110. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
31769,Ököritófülpös,Szabolcs-Szatmár-Bereg,114,114. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
31866,Tiszavárkony,Jász-Nagykun-Szolnok,145,145. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
31945,Pápa,Veszprém,14,14. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
32294,Nyírábrány,Hajdú-Bihar,105,105. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
32434,Kiskunhalas,Bács-Kiskun,155,155. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
32522,Zalaszentgrót,Zala,24,24. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
33002,Bodolyabér,Baranya,47,47. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
33844,Balatonrendes,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
34263,Zichyújfalu,Fejér,44,44. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
