ksh_code,settlement_name,county_name,area_code,basis
04525,Kecskéd,Komárom-Esztergom,ORSZEM-KOMAROM-ESZTERGOM,KSH_COUNTY
04534,Mindszentkálla,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04543,Feked,Baranya,ORSZEM-BARANYA,KSH_COUNTY
04552,Litér,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04561,Ábrahámhegy,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04570,Márianosztra,Pest,ORSZEM-PEST,KSH_COUNTY
04589,Veszkény,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04598,Kereki,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
04604,Hejőkeresztúr,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
04613,Gelénes,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
04622,Zsira,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04631,Tüskevár,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04640,Kám,Vas,ORSZEM-VAS,KSH_COUNTY
04659,Martonvásár,Fejér,ORSZEM-FEJER,KSH_COUNTY
04668,Mihályháza,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04677,Emőd,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
04686,Dédestapolcsány,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
04695,Vasvár,Vas,ORSZEM-VAS,KSH_COUNTY
04701,Iregszemcse,Tolna,ORSZEM-TOLNA,KSH_COUNTY
04710,Nagyar,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
04729,Sály,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
04738,Bak,Zala,ORSZEM-ZALA,KSH_COUNTY
04747,Sárpilis,Tolna,ORSZEM-TOLNA,KSH_COUNTY
04756,Misefa,Zala,ORSZEM-ZALA,KSH_COUNTY
04765,Borszörcsök,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04774,Szakoly,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
04783,Mosonmagyaróvár,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04792,Rábacsanak,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04808,Domony,Pest,ORSZEM-PEST,KSH_COUNTY
04817,Zsáka,Hajdú-Bihar,ORSZEM-HAJDU-BIHAR,KSH_COUNTY
04826,Kisgyalán,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
04835,Somogyzsitfa,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
04844,Terény,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
04853,Somogyudvarhely,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
04862,Paks,Tolna,ORSZEM-TOLNA,KSH_COUNTY
04871,Litke,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
04880,Ágfalva,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04899,Bikal,Baranya,ORSZEM-BARANYA,KSH_COUNTY
04905,Pócsmegyer,Pest,ORSZEM-PEST,KSH_COUNTY
04914,Trizs,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
04923,Karcag,Jász-Nagykun-Szolnok,ORSZEM-JASZ-NAGYKUN-SZOLNOK,KSH_COUNTY
